filename,#author,#cmt,changeloc
src/main/java/org/junit/matchers/package-info.java,2,2,11
src/test/java/org/junit/tests/manipulation/SingleMethodTest.java,4,6,330
src/main/java/org/junit/rules/TemporaryFolder.java,10,17,431
src/test/java/org/junit/tests/running/classes/ParameterizedTestTest.java,9,21,1316
src/main/java/org/junit/ClassRule.java,7,22,329
src/test/java/org/junit/tests/description/TestDescriptionTest.java,3,3,37
src/main/java/org/junit/internal/builders/NullBuilder.java,3,3,27
src/main/java/org/junit/internal/runners/TestClass.java,4,5,384
src/test/java/org/junit/internal/matchers/StacktracePrintingMatcherTest.java,2,4,90
src/main/java/org/junit/internal/builders/JUnit4Builder.java,3,5,34
src/main/java/org/junit/runners/model/Annotatable.java,2,2,20
src/main/java/org/junit/runner/notification/package-info.java,0,0,0
src/main/java/org/junit/internal/runners/statements/ExpectException.java,5,6,83
src/main/java/org/junit/runners/AllTests.java,3,3,20
src/test/java/org/junit/tests/experimental/theories/extendingwithstubs/Guesser.java,4,5,273
src/test/java/org/junit/AssumptionViolatedExceptionTest.java,1,2,71
src/test/java/junit/tests/framework/ComparisonFailureTest.java,2,2,100
