problem,type,module_name,class_name,method_name
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.onWindowsVisible
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.onWindowsGone
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.onWindowsGone
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.keyDispatchingTimedOut
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.keyDispatchingTimedOut
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.okToShowLocked
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.okToShowLocked
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.setSleeping
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.setTaskDescription
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.setTaskDescription
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.showStartingWindow
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.removeOrphanedStartingWindow
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.removeOrphanedStartingWindow
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.setOrientation
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.setDisablePreviewScreenshots
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.setDisablePreviewScreenshots
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.setLastReportedGlobalConfiguration
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.setLastReportedGlobalConfiguration
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.setLastReportedConfiguration
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.getRequestedConfigurationOrientation
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.getRequestedConfigurationOrientation
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.inSizeCompatMode
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.inSizeCompatMode
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.shouldUseSizeCompatMode
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.updateOverrideConfiguration
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.resolveSizeCompatModeConfiguration
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.isConfigurationCompatible
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.isConfigurationCompatible
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.computeBounds
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.ensureActivityConfiguration
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.shouldRelaunchLocked
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.getConfigurationChanges
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.relaunchActivityLocked
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.relaunchActivityLocked
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.restartProcessIfVisible
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.restartProcessIfVisible
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.isNoHistory
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.isNoHistory
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.saveToXml
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.saveToXml
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.restoreFromXml
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.restoreFromXml
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.registerRemoteAnimations
